마케팅팀,대리점코드,대리점명,매장코드,매장명,지원매장구분,MC Info,매장상세유형,매장특성구분,매장평수,주소,개설일
서대구마케팅팀,D33125,대구대동대리점,D331250000,대구대동대리점 본점,자가매장,,직영매장,,35,대구 수성구 명덕로 428 (수성동2가) (수성시장네거리),1994-06-15
서대구마케팅팀,D33138,경북성주대리점,D331380000,경북성주대리점 본점,자가매장,,직영매장,,15,경북 성주군 성주읍 성주읍3길 15 (),1994-10-13
서대구마케팅팀,D33152,대구교동대리점,D331520102,대구교동대리점 본점,자가매장,,직영매장,T world 2.0,16,"대구 중구 교동2길 24, (교동)",2015-09-09
서대구마케팅팀,D33178,유진대리점,D331780000,유진대리점 본점,자가매장,,직영매장,,20,"대구 중구 명덕로 189, (남산동)",2007-03-14
서대구마케팅팀,D33178,유진대리점,D331780001,유진대리점 도매사무실,자가매장,,,,58,"대구 중구 명덕로 189, (남산동)",2007-03-20
서대구마케팅팀,D33178,유진대리점,D331780008,유진대리점 포항직영점,자가매장,,직영매장,T world 2.0,13,"경북 포항시 북구 죽도로 28, 1층 (죽도동)",2022-12-08
서대구마케팅팀,D33178,유진대리점,D331780009,유진대리점 경주시청점,자가매장,,직영매장,T world 2.0,30,경북 경주시 양정로 218 (동천동) 1층 SK텔레콤,2025-08-12
서대구마케팅팀,D33270,대구교보대리점,D332700060,대구교보대리점 본점,자가매장,,직영매장,T world 2.0,28,대구 서구 서대구로 318 1층,2014-03-24
서대구마케팅팀,D33304,대구만평대리점,D333040044,대구만평대리점 성서점,자가매장,,외부위탁_운영,,33,"대구 달서구 성서로 414 (이곡동) 메가스타 102,103호",2009-07-14
서대구마케팅팀,D33304,대구만평대리점,D333040047,대구만평대리점 태전점,자가매장,,외부위탁_운영,,13,"대구 북구 학정로7길 2, 106호 (태전동,태전남향아파트)",2011-03-04
서대구마케팅팀,D33304,대구만평대리점,D333040050,대구만평대리점 동천점,자가매장,,직영매장,T world 2.0,30,대구 북구 대천로 93 (동천동),2012-04-30
서대구마케팅팀,D33304,대구만평대리점,D333040054,대구만평대리점 본점,자가매장,,외부위탁_운영,T world 2.0,40,대구 서구 서대구로 353 (비산동),2013-02-22
서대구마케팅팀,D33304,대구만평대리점,D333040055,대구만평대리점 소매사무실,자가매장,,,T world 2.0,30,대구 서구 서대구로 353 (비산동),2013-04-24
서대구마케팅팀,D33304,대구만평대리점,D333040058,대구만평대리점 화원점,자가매장,,외부위탁_운영,T world 2.0,20,대구 달성군 화원읍 비슬로 2550-1 (SKTELECOM),2013-11-04
서대구마케팅팀,D33304,대구만평대리점,D333040062,대구만평대리점 사월점,자가매장,,외부위탁_운영,T world 2.0,20,"대구 수성구 달구벌대로 3294, 101호(신매동,시지퍼스트)",2014-08-28
서대구마케팅팀,D33304,대구만평대리점,D333040066,대구만평대리점 용지점,자가매장,,외부위탁_운영,T world smart,22,"대구 수성구 범안로 70, (범물동,동원빌딩)",2017-03-30
서대구마케팅팀,D33304,대구만평대리점,D333040067,대구만평대리점 지산점,자가매장,,외부위탁_운영,T world 2.0,18,"대구 수성구 지산로 53, (지산동)",2017-09-29
서대구마케팅팀,D33304,대구만평대리점,D333040069,대구만평대리점 신월성점,자가매장,,외부위탁_운영,T world 2.0,16,"대구 달서구 조암로 4, (월성동,그루메디컬빌딩)",2018-04-19
서대구마케팅팀,D33304,대구만평대리점,D333040071,대구만평대리점 경산점,자가매장,,외부위탁_운영,구독특화,34,"경북 경산시 중앙로 91 (중방동,대행빌딩)",2020-06-22
서대구마케팅팀,D33304,대구만평대리점,D333040072,대구만평대리점 이시아점,자가매장,,외부위탁_운영,T world 2.0,15,"대구 동구 팔공로51길 11, 1동 105호(봉무동)",2020-08-27
서대구마케팅팀,D33304,대구만평대리점,D333040073,대구만평대리점 수성점,자가매장,,외부위탁_운영,T world 2.0,19,"대구 수성구 명덕로 455, 101동 109호(수성동3가,수성3가롯데캐슬아파트)",2020-08-27
서대구마케팅팀,D33304,대구만평대리점,D333040075,대구만평대리점 구암점,자가매장,,외부위탁_운영,T world 2.0,15,"대구 북구 구암로 150, (구암동)",2022-01-04
서대구마케팅팀,D33304,대구만평대리점,D333040076,대구만평대리점 장기점,자가매장,,외부위탁_운영,T world 2.0,26,"대구 달서구 용산로 68, 1층 1호(장기동)",2022-01-04
서대구마케팅팀,D33304,대구만평대리점,D333040080,대구만평대리점 소매사무실(2),자가매장,,직영매장,T world smart,24,"대구 서구 서대구로 353, 2층 (비산동)",2023-01-10
서대구마케팅팀,D33304,대구만평대리점,D333040083,대구만평대리점 소매사무실(3),자가매장,,직영매장,T world 2.0,24,"대구 서구 서대구로 353, 2층 (비산동)",2024-09-02
서대구마케팅팀,D33308,경북고령대리점,D333080000,경북고령대리점 본점,자가매장,,직영매장,,12,경북 고령군 고령읍 연조길 2 (),1997-07-01
서대구마케팅팀,D33308,경북고령대리점,D333080041,경북고령대리점 중앙로직영점,자가매장,,직영매장,T world 2.0,40,경북 고령군 고령읍 시장길 2 (),2012-05-21
서대구마케팅팀,D33324,대구가야대리점,D333240103,대구가야대리점 도매사무실,자가매장,,,,5,"대구 달서구 달구벌대로 1670, 6층 (두류동,광산빌딩)",2005-09-30
서대구마케팅팀,D33324,대구가야대리점,D333240125,대구가야대리점 효목점,자가매장,,외부위탁_운영,,23,대구 동구 아양로50길 119 (효목동) (효목시장 안),2009-06-23
서대구마케팅팀,D33324,대구가야대리점,D333240126,대구가야대리점 신암직영점,자가매장,,외부위탁_운영,T Premium Store,25,대구 동구 아양로 50 (신암동),2009-12-10
서대구마케팅팀,D33324,대구가야대리점,D333240127,대구가야대리점 감삼 본점,자가매장,,외부위탁_운영,,33,대구 달서구 달구벌대로 1670 (두류동) (감삼네거리),2010-04-29
서대구마케팅팀,D33324,대구가야대리점,D333240129,대구가야대리점 향군회관점,자가매장,,외부위탁_운영,,15,"대구 달서구 달구벌대로 1491, 2호 (용산동,지하철) 선 용산역",2010-07-14
서대구마케팅팀,D33324,대구가야대리점,D333240130,대구가야대리점 성당점,자가매장,,외부위탁_운영,,12,대구 달서구 당산로 90 (성당동),2010-07-23
서대구마케팅팀,D33324,대구가야대리점,D333240138,대구가야대리점 용산점,자가매장,,외부위탁_운영,T world 2.0,25,"대구 달서구 선원로 264, 1층 (용산동,심계빌딩)",2013-05-16
